,MAE,RMSE,MAPE,R,Type,Time
TNTS-SAN-F2W_RLAP_PURE.h5,1.268±0.201,5.691±2.873,1.971±0.342,0.96883,Window,2024-11-18 19:13:19
TNTS-SAN-F2W_RLAP_PURE.h5,1.025±0.316,2.632±1.797,1.569±0.503,0.99452,Whole,2024-11-18 19:13:19
TNTS-SAN-F2W_RLAP_UBFC.h5,1.284±0.091,2.433±1.087,1.313±0.095,0.98987,Window,2024-11-18 19:13:25
TNTS-SAN-F2W_RLAP_UBFC.h5,0.559±0.1,0.854±0.498,0.543±0.092,0.99902,Whole,2024-11-18 19:13:25
TNTS-SAN-F2W_RLAP_MMPD.h5,12.408±0.203,21.22±3.381,14.397±0.235,0.3828,Window,2024-11-18 19:38:40
TNTS-SAN-F2W_RLAP_MMPD.h5,8.032±0.387,12.751±3.925,9.076±0.403,0.63971,Whole,2024-11-18 19:38:40
TNTS-SAN-F2W_RLAP_COHFACE.h5,4.108±0.225,10.475±3.196,5.54±0.293,0.66595,Window,2024-11-18 19:39:52
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.944±0.455,6.531±3.979,3.874±0.53,0.84111,Whole,2024-11-18 19:39:52
TNTS-SAN-F2W_RLAP_PURE.h5,0.455±0.057,1.632±0.958,0.719±0.102,0.99748,Window,2024-11-18 19:39:58
TNTS-SAN-F2W_RLAP_PURE.h5,0.257±0.111,0.892±0.829,0.416±0.211,0.99927,Whole,2024-11-18 19:39:58
TNTS-SAN-F2W_RLAP_UBFC.h5,1.23±0.086,2.311±1.058,1.253±0.087,0.99077,Window,2024-11-18 19:40:02
TNTS-SAN-F2W_RLAP_UBFC.h5,0.501±0.085,0.744±0.431,0.504±0.083,0.99914,Whole,2024-11-18 19:40:02
TNTS-SAN-F2W_RLAP_MMPD.h5,12.791±0.199,21.197±3.359,14.275±0.21,0.2903,Window,2024-11-18 21:00:40
TNTS-SAN-F2W_RLAP_MMPD.h5,10.489±0.505,16.647±4.906,11.406±0.495,0.4425,Whole,2024-11-18 21:00:40
TNTS-SAN-F2W_RLAP_COHFACE.h5,4.059±0.205,9.652±2.861,5.522±0.27,0.68738,Window,2024-11-18 21:00:55
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.079±0.427,6.275±3.407,4.11±0.516,0.84658,Whole,2024-11-18 21:00:55
TNTS-SAN-F2W_RLAP_PURE.h5,0.98±0.186,5.229±3.468,1.206±0.172,0.97368,Window,2024-11-18 21:01:04
TNTS-SAN-F2W_RLAP_PURE.h5,0.734±0.302,2.434±1.87,0.841±0.313,0.99517,Whole,2024-11-18 21:01:04
TNTS-SAN-F2W_RLAP_UBFC.h5,1.292±0.095,2.521±1.114,1.32±0.099,0.98914,Window,2024-11-18 21:01:11
TNTS-SAN-F2W_RLAP_UBFC.h5,0.59±0.101,0.881±0.488,0.585±0.096,0.99888,Whole,2024-11-18 21:01:11
TNTS-SAN-F2W_RLAP_MMPD.h5,12.006±0.193,20.335±3.252,13.683±0.216,0.35472,Window,2024-11-18 21:23:13
TNTS-SAN-F2W_RLAP_MMPD.h5,9.033±0.434,14.329±4.301,10.075±0.449,0.55694,Whole,2024-11-18 21:23:13
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.861±0.19,9.001±2.626,5.222±0.245,0.7262,Window,2024-11-18 21:23:25
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.909±0.402,5.911±3.157,3.858±0.479,0.87132,Whole,2024-11-18 21:23:25
TNTS-SAN-F2W_RLAP_PURE.h5,0.561±0.105,2.946±2.531,0.784±0.112,0.99171,Window,2024-11-18 21:23:31
TNTS-SAN-F2W_RLAP_PURE.h5,0.35±0.142,1.142±0.961,0.462±0.177,0.99891,Whole,2024-11-18 21:23:31
TNTS-SAN-F2W_RLAP_UBFC.h5,1.264±0.092,2.452±1.105,1.3±0.1,0.98967,Window,2024-11-18 21:23:36
TNTS-SAN-F2W_RLAP_UBFC.h5,0.562±0.099,0.855±0.504,0.557±0.094,0.99892,Whole,2024-11-18 21:23:36
TNTS-SAN-F2W_RLAP_MMPD.h5,10.65±0.183,18.847±3.134,12.751±0.228,0.43345,Window,2024-11-18 22:29:52
TNTS-SAN-F2W_RLAP_MMPD.h5,6.735±0.336,10.931±3.404,8.018±0.413,0.70202,Whole,2024-11-18 22:29:52
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.842±0.209,9.712±2.964,5.223±0.268,0.6936,Window,2024-11-18 22:30:04
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.86±0.408,5.958±3.567,3.799±0.49,0.8645,Whole,2024-11-18 22:30:04
TNTS-SAN-F2W_RLAP_PURE.h5,0.564±0.117,3.274±2.552,0.831±0.158,0.98976,Window,2024-11-18 22:30:10
TNTS-SAN-F2W_RLAP_PURE.h5,0.396±0.151,1.228±0.953,0.562±0.21,0.99874,Whole,2024-11-18 22:30:10
TNTS-SAN-F2W_RLAP_UBFC.h5,1.254±0.091,2.428±1.109,1.285±0.098,0.98977,Window,2024-11-18 22:30:14
TNTS-SAN-F2W_RLAP_UBFC.h5,0.503±0.081,0.725±0.425,0.49±0.072,0.99923,Whole,2024-11-18 22:30:14
TNTS-SAN-F2W_RLAP_MMPD.h5,12.901±0.209,21.945±3.497,14.848±0.239,0.36111,Window,2024-11-18 22:47:32
TNTS-SAN-F2W_RLAP_MMPD.h5,9.055±0.427,14.189±4.248,10.209±0.453,0.5793,Whole,2024-11-18 22:47:32
TNTS-SAN-F2W_RLAP_COHFACE.h5,4.226±0.207,9.81±2.851,5.722±0.265,0.69168,Window,2024-11-18 22:47:44
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.185±0.433,6.397±3.481,4.209±0.517,0.85275,Whole,2024-11-18 22:47:44
TNTS-SAN-F2W_RLAP_PURE.h5,0.52±0.101,2.844±2.454,0.703±0.105,0.99228,Window,2024-11-18 22:47:50
TNTS-SAN-F2W_RLAP_PURE.h5,0.344±0.129,1.045±0.902,0.45±0.144,0.99908,Whole,2024-11-18 22:47:50
TNTS-SAN-F2W_RLAP_UBFC.h5,1.262±0.089,2.395±1.075,1.299±0.098,0.99007,Window,2024-11-18 22:47:54
TNTS-SAN-F2W_RLAP_UBFC.h5,0.503±0.087,0.756±0.448,0.497±0.082,0.9991,Whole,2024-11-18 22:47:54
TNTS-SAN-F2W_RLAP_MMPD.h5,12.901±0.209,21.945±3.497,14.848±0.239,0.36111,Window,2024-11-18 22:48:39
TNTS-SAN-F2W_RLAP_MMPD.h5,9.055±0.427,14.189±4.248,10.209±0.453,0.5793,Whole,2024-11-18 22:48:39
TNTS-SAN-F2W_RLAP_MMPD.h5,11.969±0.195,20.446±3.259,13.682±0.218,0.36707,Window,2024-11-18 23:09:36
TNTS-SAN-F2W_RLAP_MMPD.h5,8.65±0.426,13.928±4.197,9.61±0.434,0.58539,Whole,2024-11-18 23:09:36
TNTS-SAN-F2W_RLAP_COHFACE.h5,4.054±0.197,9.332±2.705,5.566±0.259,0.71274,Window,2024-11-18 23:09:49
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.685±0.344,5.159±2.903,3.611±0.413,0.90007,Whole,2024-11-18 23:09:49
TNTS-SAN-F2W_RLAP_PURE.h5,0.617±0.137,3.842±3.009,0.791±0.126,0.98588,Window,2024-11-18 23:09:54
TNTS-SAN-F2W_RLAP_PURE.h5,0.431±0.224,1.775±1.648,0.514±0.216,0.99737,Whole,2024-11-18 23:09:54
TNTS-SAN-F2W_RLAP_UBFC.h5,1.241±0.085,2.296±1.023,1.27±0.087,0.99095,Window,2024-11-18 23:09:58
TNTS-SAN-F2W_RLAP_UBFC.h5,0.52±0.085,0.756±0.433,0.528±0.085,0.99913,Whole,2024-11-18 23:09:58
TNTS-SAN-F2W_RLAP_MMPD.h5,11.852±0.197,20.51±3.351,13.535±0.221,0.36651,Window,2024-11-18 23:27:01
TNTS-SAN-F2W_RLAP_MMPD.h5,8.119±0.408,13.238±4.129,9.001±0.408,0.60756,Whole,2024-11-18 23:27:01
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.955±0.194,9.2±2.689,5.418±0.26,0.71853,Window,2024-11-18 23:27:13
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.749±0.359,5.361±2.915,3.664±0.438,0.89503,Whole,2024-11-18 23:27:13
TNTS-SAN-F2W_RLAP_PURE.h5,0.558±0.105,2.946±2.494,0.761±0.111,0.99172,Window,2024-11-18 23:27:19
TNTS-SAN-F2W_RLAP_PURE.h5,0.343±0.136,1.1±0.926,0.45±0.167,0.99902,Whole,2024-11-18 23:27:19
TNTS-SAN-F2W_RLAP_UBFC.h5,1.232±0.084,2.274±1.013,1.261±0.087,0.9912,Window,2024-11-18 23:27:23
TNTS-SAN-F2W_RLAP_UBFC.h5,0.57±0.088,0.807±0.449,0.577±0.089,0.99908,Whole,2024-11-18 23:27:23
TNTS-SAN-F2W_RLAP_MMPD.h5,10.767±0.187,19.197±3.176,13.081±0.241,0.45609,Window,2024-11-19 00:40:09
TNTS-SAN-F2W_RLAP_MMPD.h5,6.633±0.333,10.807±3.321,8.167±0.445,0.71305,Whole,2024-11-19 00:40:09
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.169±0.186,8.541±2.826,4.427±0.26,0.75772,Window,2024-11-19 00:40:22
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.031±0.36,5.038±3.471,2.745±0.455,0.89848,Whole,2024-11-19 00:40:22
TNTS-SAN-F2W_RLAP_PURE.h5,0.411±0.05,1.429±0.831,0.613±0.077,0.99807,Window,2024-11-19 00:40:28
TNTS-SAN-F2W_RLAP_PURE.h5,0.23±0.062,0.53±0.395,0.342±0.105,0.99975,Whole,2024-11-19 00:40:28
TNTS-SAN-F2W_RLAP_UBFC.h5,1.191±0.088,2.341±1.098,1.222±0.094,0.99047,Window,2024-11-19 00:40:33
TNTS-SAN-F2W_RLAP_UBFC.h5,0.462±0.082,0.702±0.436,0.454±0.073,0.99922,Whole,2024-11-19 00:40:33
TNTS-SAN-F2W_RLAP_MMPD.h5,10.658±0.179,18.571±3.091,12.323±0.206,0.42957,Window,2024-11-19 01:03:19
TNTS-SAN-F2W_RLAP_MMPD.h5,7.385±0.363,11.88±3.808,8.407±0.395,0.67403,Whole,2024-11-19 01:03:19
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.347±0.177,8.254±2.586,4.581±0.231,0.75672,Window,2024-11-19 01:03:31
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.218±0.357,5.081±3.233,2.939±0.433,0.9015,Whole,2024-11-19 01:03:31
TNTS-SAN-F2W_RLAP_PURE.h5,0.447±0.056,1.613±0.921,0.679±0.092,0.99754,Window,2024-11-19 01:03:37
TNTS-SAN-F2W_RLAP_PURE.h5,0.258±0.086,0.711±0.609,0.397±0.157,0.99956,Whole,2024-11-19 01:03:37
TNTS-SAN-F2W_RLAP_UBFC.h5,1.215±0.088,2.347±1.085,1.254±0.097,0.99041,Window,2024-11-19 01:03:42
TNTS-SAN-F2W_RLAP_UBFC.h5,0.475±0.077,0.691±0.412,0.468±0.069,0.99926,Whole,2024-11-19 01:03:42
TNTS-SAN-F2W_RLAP_MMPD.h5,10.594±0.183,18.799±3.136,12.588±0.226,0.4313,Window,2024-11-19 01:28:05
TNTS-SAN-F2W_RLAP_MMPD.h5,7.1±0.372,11.888±3.832,8.424±0.461,0.64578,Whole,2024-11-19 01:28:05
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.226±0.177,8.243±2.631,4.403±0.237,0.7633,Window,2024-11-19 01:28:18
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.319±0.32,4.712±2.48,3.087±0.401,0.9177,Whole,2024-11-19 01:28:18
TNTS-SAN-F2W_RLAP_PURE.h5,0.443±0.055,1.586±0.898,0.656±0.088,0.99763,Window,2024-11-19 01:28:24
TNTS-SAN-F2W_RLAP_PURE.h5,0.266±0.082,0.682±0.553,0.389±0.143,0.9996,Whole,2024-11-19 01:28:24
TNTS-SAN-F2W_RLAP_UBFC.h5,1.185±0.086,2.301±1.076,1.219±0.094,0.99082,Window,2024-11-19 01:28:28
TNTS-SAN-F2W_RLAP_UBFC.h5,0.487±0.081,0.715±0.427,0.478±0.073,0.99922,Whole,2024-11-19 01:28:28
TNTS-SAN-F2W_RLAP_MMPD.h5,10.769±0.189,19.322±3.216,13.11±0.244,0.45141,Window,2024-11-19 01:53:21
TNTS-SAN-F2W_RLAP_MMPD.h5,6.713±0.337,10.933±3.362,8.28±0.451,0.70746,Whole,2024-11-19 01:53:21
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.328±0.198,9.087±2.967,4.661±0.279,0.73003,Window,2024-11-19 01:53:34
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.421±0.384,5.48±3.277,3.363±0.506,0.87989,Whole,2024-11-19 01:53:34
TNTS-SAN-F2W_RLAP_PURE.h5,0.406±0.053,1.522±0.886,0.614±0.087,0.99781,Window,2024-11-19 01:53:40
TNTS-SAN-F2W_RLAP_PURE.h5,0.237±0.082,0.674±0.574,0.36±0.149,0.99959,Whole,2024-11-19 01:53:40
TNTS-SAN-F2W_RLAP_UBFC.h5,1.22±0.089,2.374±1.106,1.25±0.096,0.99019,Window,2024-11-19 01:53:45
TNTS-SAN-F2W_RLAP_UBFC.h5,0.462±0.083,0.709±0.437,0.456±0.075,0.99921,Whole,2024-11-19 01:53:45
TNTS-SAN-F2W_RLAP_MMPD.h5,11.222±0.191,19.724±3.234,13.408±0.237,0.42343,Window,2024-11-19 11:37:12
TNTS-SAN-F2W_RLAP_MMPD.h5,7.005±0.341,11.2±3.413,8.357±0.416,0.68701,Whole,2024-11-19 11:37:12
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.628±0.157,7.217±2.521,3.683±0.224,0.81812,Window,2024-11-19 11:37:25
TNTS-SAN-F2W_RLAP_COHFACE.h5,1.636±0.247,3.564±2.092,2.264±0.334,0.95077,Whole,2024-11-19 11:37:25
TNTS-SAN-F2W_RLAP_PURE.h5,0.457±0.056,1.604±0.929,0.679±0.088,0.99756,Window,2024-11-19 11:37:30
TNTS-SAN-F2W_RLAP_PURE.h5,0.27±0.082,0.688±0.569,0.404±0.147,0.99957,Whole,2024-11-19 11:37:30
TNTS-SAN-F2W_RLAP_UBFC.h5,1.171±0.08,2.177±1.023,1.184±0.08,0.99179,Window,2024-11-19 11:37:35
TNTS-SAN-F2W_RLAP_UBFC.h5,0.47±0.082,0.712±0.437,0.46±0.074,0.99921,Whole,2024-11-19 11:37:35
TNTS-SAN-F2W_RLAP_MMPD.h5,10.905±0.189,19.377±3.194,13.118±0.238,0.44318,Window,2024-11-19 12:00:43
TNTS-SAN-F2W_RLAP_MMPD.h5,6.654±0.336,10.873±3.345,8.035±0.427,0.70593,Whole,2024-11-19 12:00:43
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.596±0.213,9.786±3.185,5.007±0.301,0.69436,Window,2024-11-19 12:00:56
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.453±0.413,5.831±3.922,3.362±0.527,0.86287,Whole,2024-11-19 12:00:56
TNTS-SAN-F2W_RLAP_PURE.h5,0.424±0.051,1.477±0.876,0.65±0.087,0.99794,Window,2024-11-19 12:01:02
TNTS-SAN-F2W_RLAP_PURE.h5,0.241±0.081,0.671±0.58,0.375±0.149,0.9996,Whole,2024-11-19 12:01:02
TNTS-SAN-F2W_RLAP_UBFC.h5,1.154±0.081,2.183±1.021,1.181±0.088,0.9917,Window,2024-11-19 12:01:06
TNTS-SAN-F2W_RLAP_UBFC.h5,0.479±0.08,0.706±0.43,0.479±0.076,0.99918,Whole,2024-11-19 12:01:06
TNTS-SAN-F2W_RLAP_MMPD.h5,13.193±0.212,22.327±3.484,15.424±0.25,0.34834,Window,2024-11-19 12:21:12
TNTS-SAN-F2W_RLAP_MMPD.h5,8.576±0.419,13.74±4.084,9.817±0.456,0.56932,Whole,2024-11-19 12:21:12
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.206±0.199,9.097±3.067,4.391±0.274,0.73683,Window,2024-11-19 12:21:24
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.228±0.382,5.378±3.249,3.014±0.486,0.8861,Whole,2024-11-19 12:21:24
TNTS-SAN-F2W_RLAP_PURE.h5,0.646±0.111,3.122±2.632,1.009±0.196,0.99083,Window,2024-11-19 12:21:30
TNTS-SAN-F2W_RLAP_PURE.h5,0.414±0.193,1.542±1.487,0.672±0.375,0.99779,Whole,2024-11-19 12:21:30
TNTS-SAN-F2W_RLAP_UBFC.h5,1.266±0.089,2.385±1.083,1.295±0.092,0.99015,Window,2024-11-19 12:21:34
TNTS-SAN-F2W_RLAP_UBFC.h5,0.509±0.086,0.754±0.448,0.515±0.082,0.99912,Whole,2024-11-19 12:21:34
TNTS-SAN-F2W_RLAP_MMPD.h5,13.899±0.219,23.215±3.552,16.047±0.25,0.33844,Window,2024-11-19 12:39:51
TNTS-SAN-F2W_RLAP_MMPD.h5,9.431±0.453,14.948±4.33,10.603±0.471,0.54946,Whole,2024-11-19 12:39:51
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.194±0.192,8.801±2.898,4.379±0.258,0.74638,Window,2024-11-19 12:40:03
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.366±0.388,5.498±3.305,3.196±0.499,0.88391,Whole,2024-11-19 12:40:03
TNTS-SAN-F2W_RLAP_PURE.h5,0.519±0.057,1.653±1.017,0.786±0.095,0.99741,Window,2024-11-19 12:40:08
TNTS-SAN-F2W_RLAP_PURE.h5,0.288±0.091,0.756±0.66,0.443±0.169,0.99947,Whole,2024-11-19 12:40:08
TNTS-SAN-F2W_RLAP_UBFC.h5,1.287±0.091,2.452±1.112,1.318±0.097,0.98959,Window,2024-11-19 12:40:13
TNTS-SAN-F2W_RLAP_UBFC.h5,0.48±0.085,0.731±0.444,0.471±0.077,0.99924,Whole,2024-11-19 12:40:13
TNTS-SAN-F2W_RLAP_MMPD.h5,13.265±0.207,22.004±3.393,15.302±0.235,0.35563,Window,2024-11-19 12:56:40
TNTS-SAN-F2W_RLAP_MMPD.h5,8.905±0.429,14.14±4.275,9.982±0.44,0.58025,Whole,2024-11-19 12:56:40
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.121±0.181,8.335±2.709,4.265±0.239,0.769,Window,2024-11-19 12:56:52
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.227±0.346,4.956±3.133,3.009±0.424,0.90572,Whole,2024-11-19 12:56:52
TNTS-SAN-F2W_RLAP_PURE.h5,0.568±0.077,2.197±1.683,0.881±0.137,0.99542,Window,2024-11-19 12:56:57
TNTS-SAN-F2W_RLAP_PURE.h5,0.336±0.097,0.816±0.626,0.543±0.182,0.99941,Whole,2024-11-19 12:56:57
TNTS-SAN-F2W_RLAP_UBFC.h5,1.264±0.088,2.368±1.078,1.285±0.089,0.99034,Window,2024-11-19 12:57:01
TNTS-SAN-F2W_RLAP_UBFC.h5,0.53±0.087,0.772±0.443,0.53±0.083,0.99912,Whole,2024-11-19 12:57:01
TNTS-SAN-F2W_RLAP_MMPD.h5,11.369±0.19,19.723±3.199,13.704±0.239,0.43987,Window,2024-11-19 13:13:53
TNTS-SAN-F2W_RLAP_MMPD.h5,6.85±0.323,10.746±3.23,8.284±0.412,0.71352,Whole,2024-11-19 13:13:53
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.537±0.206,9.485±3.047,4.834±0.273,0.70757,Window,2024-11-19 13:14:05
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.37±0.402,5.662±3.795,3.163±0.487,0.87306,Whole,2024-11-19 13:14:05
TNTS-SAN-F2W_RLAP_PURE.h5,0.45±0.052,1.494±0.878,0.68±0.083,0.99789,Window,2024-11-19 13:14:11
TNTS-SAN-F2W_RLAP_PURE.h5,0.242±0.068,0.576±0.431,0.355±0.115,0.9997,Whole,2024-11-19 13:14:11
TNTS-SAN-F2W_RLAP_UBFC.h5,1.234±0.09,2.396±1.103,1.27±0.098,0.99,Window,2024-11-19 13:14:15
TNTS-SAN-F2W_RLAP_UBFC.h5,0.486±0.083,0.723±0.427,0.487±0.079,0.99918,Whole,2024-11-19 13:14:15
TNTS-SAN-F2W_RLAP_MMPD.h5,11.578±0.198,20.421±3.322,13.291±0.219,0.42714,Window,2024-11-19 13:30:06
TNTS-SAN-F2W_RLAP_MMPD.h5,8.286±0.425,13.672±4.19,9.244±0.437,0.63909,Whole,2024-11-19 13:30:06
TNTS-SAN-F2W_RLAP_COHFACE.h5,5.371±0.25,11.949±3.315,7.497±0.35,0.5686,Window,2024-11-19 13:30:19
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.533±0.414,6.376±2.999,4.887±0.558,0.83349,Whole,2024-11-19 13:30:19
TNTS-SAN-F2W_RLAP_PURE.h5,1.069±0.15,4.282±2.492,1.683±0.265,0.98255,Window,2024-11-19 13:30:24
TNTS-SAN-F2W_RLAP_PURE.h5,0.728±0.207,1.749±1.227,1.149±0.373,0.99735,Whole,2024-11-19 13:30:24
TNTS-SAN-F2W_RLAP_UBFC.h5,1.354±0.096,2.577±1.158,1.398±0.104,0.98844,Window,2024-11-19 13:30:28
TNTS-SAN-F2W_RLAP_UBFC.h5,0.557±0.09,0.805±0.471,0.565±0.087,0.99894,Whole,2024-11-19 13:30:28
TNTS-SAN-F2W_RLAP_MMPD.h5,11.433±0.193,20.015±3.248,13.859±0.246,0.43122,Window,2024-11-19 13:45:32
TNTS-SAN-F2W_RLAP_MMPD.h5,6.859±0.329,10.875±3.288,8.421±0.429,0.706,Whole,2024-11-19 13:45:32
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.202±0.201,9.187±3.117,4.41±0.279,0.72373,Window,2024-11-19 13:45:44
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.13±0.382,5.332±3.271,2.891±0.517,0.88531,Whole,2024-11-19 13:45:44
TNTS-SAN-F2W_RLAP_PURE.h5,0.451±0.051,1.468±0.844,0.677±0.08,0.99796,Window,2024-11-19 13:45:50
TNTS-SAN-F2W_RLAP_PURE.h5,0.25±0.072,0.605±0.46,0.371±0.121,0.99967,Whole,2024-11-19 13:45:50
TNTS-SAN-F2W_RLAP_UBFC.h5,1.208±0.089,2.364±1.096,1.241±0.096,0.99024,Window,2024-11-19 13:45:54
TNTS-SAN-F2W_RLAP_UBFC.h5,0.523±0.095,0.806±0.476,0.536±0.1,0.9989,Whole,2024-11-19 13:45:54
TNTS-SAN-F2W_RLAP_MMPD.h5,11.521±0.192,19.996±3.25,13.857±0.241,0.42643,Window,2024-11-19 14:00:55
TNTS-SAN-F2W_RLAP_MMPD.h5,6.755±0.338,10.974±3.388,8.17±0.428,0.69925,Whole,2024-11-19 14:00:55
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.649±0.216,9.923±3.238,5.029±0.295,0.68712,Window,2024-11-19 14:01:07
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.755±0.429,6.149±3.736,3.745±0.547,0.84915,Whole,2024-11-19 14:01:07
TNTS-SAN-F2W_RLAP_PURE.h5,0.441±0.05,1.457±0.854,0.659±0.08,0.99799,Window,2024-11-19 14:01:13
TNTS-SAN-F2W_RLAP_PURE.h5,0.242±0.067,0.568±0.44,0.357±0.115,0.99971,Whole,2024-11-19 14:01:13
TNTS-SAN-F2W_RLAP_UBFC.h5,1.224±0.09,2.399±1.111,1.257±0.097,0.98998,Window,2024-11-19 14:01:18
TNTS-SAN-F2W_RLAP_UBFC.h5,0.491±0.083,0.729±0.433,0.482±0.075,0.99916,Whole,2024-11-19 14:01:18
TNTS-SAN-F2W_RLAP_MMPD.h5,11.708±0.192,20.106±3.244,13.94±0.237,0.41877,Window,2024-11-19 14:15:50
TNTS-SAN-F2W_RLAP_MMPD.h5,6.993±0.331,10.996±3.297,8.26±0.395,0.70406,Whole,2024-11-19 14:15:50
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.332±0.194,8.953±2.896,4.566±0.257,0.73313,Window,2024-11-19 14:16:02
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.334±0.379,5.39±3.261,3.145±0.483,0.88465,Whole,2024-11-19 14:16:02
TNTS-SAN-F2W_RLAP_PURE.h5,0.433±0.05,1.436±0.834,0.646±0.078,0.99805,Window,2024-11-19 14:16:08
TNTS-SAN-F2W_RLAP_PURE.h5,0.236±0.062,0.532±0.395,0.348±0.105,0.99975,Whole,2024-11-19 14:16:08
TNTS-SAN-F2W_RLAP_UBFC.h5,1.212±0.089,2.356±1.081,1.24±0.095,0.99029,Window,2024-11-19 14:16:12
TNTS-SAN-F2W_RLAP_UBFC.h5,0.516±0.094,0.797±0.478,0.523±0.099,0.99892,Whole,2024-11-19 14:16:12
TNTS-SAN-F2W_RLAP_MMPD.h5,11.419±0.191,19.828±3.232,13.72±0.239,0.42857,Window,2024-11-19 14:33:40
TNTS-SAN-F2W_RLAP_MMPD.h5,6.888±0.325,10.798±3.224,8.278±0.407,0.71076,Whole,2024-11-19 14:33:40
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.079±0.195,8.879±3.062,4.286±0.272,0.74262,Window,2024-11-19 14:33:52
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.235±0.402,5.617±3.808,3.077±0.521,0.8753,Whole,2024-11-19 14:33:52
TNTS-SAN-F2W_RLAP_PURE.h5,0.441±0.051,1.484±0.849,0.662±0.081,0.99792,Window,2024-11-19 14:33:58
TNTS-SAN-F2W_RLAP_PURE.h5,0.236±0.066,0.562±0.424,0.342±0.112,0.99972,Whole,2024-11-19 14:33:58
TNTS-SAN-F2W_RLAP_UBFC.h5,1.22±0.087,2.336±1.074,1.253±0.094,0.99047,Window,2024-11-19 14:34:02
TNTS-SAN-F2W_RLAP_UBFC.h5,0.526±0.093,0.8±0.47,0.534±0.099,0.99894,Whole,2024-11-19 14:34:02
TNTS-SAN-F2W_RLAP_MMPD.h5,11.468±0.192,19.926±3.25,13.949±0.247,0.43627,Window,2024-11-19 14:49:08
TNTS-SAN-F2W_RLAP_MMPD.h5,6.879±0.333,10.957±3.356,8.452±0.439,0.70393,Whole,2024-11-19 14:49:08
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.44±0.206,9.434±3.105,4.727±0.279,0.70618,Window,2024-11-19 14:49:21
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.335±0.419,5.852±4.071,3.132±0.526,0.86288,Whole,2024-11-19 14:49:21
TNTS-SAN-F2W_RLAP_PURE.h5,0.471±0.063,1.814±1.209,0.703±0.106,0.99688,Window,2024-11-19 14:49:26
TNTS-SAN-F2W_RLAP_PURE.h5,0.282±0.083,0.697±0.559,0.422±0.146,0.99958,Whole,2024-11-19 14:49:26
TNTS-SAN-F2W_RLAP_UBFC.h5,1.192±0.088,2.329±1.084,1.226±0.095,0.99054,Window,2024-11-19 14:49:31
TNTS-SAN-F2W_RLAP_UBFC.h5,0.503±0.085,0.746±0.428,0.509±0.084,0.99911,Whole,2024-11-19 14:49:31
TNTS-SAN-F2W_RLAP_MMPD.h5,11.603±0.194,20.175±3.27,13.96±0.244,0.4232,Window,2024-11-19 15:08:19
TNTS-SAN-F2W_RLAP_MMPD.h5,6.944±0.351,11.356±3.502,8.377±0.431,0.67954,Whole,2024-11-19 15:08:19
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.051±0.191,8.732±2.976,4.213±0.266,0.74293,Window,2024-11-19 15:08:31
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.167±0.41,5.684±3.739,2.939±0.539,0.87168,Whole,2024-11-19 15:08:31
TNTS-SAN-F2W_RLAP_PURE.h5,0.418±0.046,1.349±0.801,0.638±0.077,0.99828,Window,2024-11-19 15:08:36
